weather_date,highest_temp,lowset_temp,weather,wind_direction,air_quality
2016-02-29 周一,16°,5°,晴,北风3-4级,120 轻度
2016-03-01 周二,19°,7°,晴,无持续风向微风,99 良
2016-03-02 周三,22°,10°,晴~多云,无持续风向微风,121 轻度
2016-03-03 周四,24°,13°,多云~阵雨,无持续风向微风,166 中度
2016-03-04 周五,23°,14°,多云~阴,无持续风向微风,153 中度
2016-03-05 周六,22°,14°,多云~阴,无持续风向微风,106 轻度
2016-03-06 周日,24°,14°,晴,无持续风向微风,168 中度
2016-03-07 周一,25°,15°,多云~雷阵雨,无持续风向微风,117 轻度
2016-03-08 周二,20°,7°,中雨~小雨,北风4-5级,61 良
2016-03-09 周三,9°,4°,小雨~雨夹雪,北风3-4级,36 优
2016-03-10 周四,8°,3°,阴~多云,无持续风向微风,47 优
2016-03-11 周五,12°,4°,晴,无持续风向微风,76 良
2016-03-12 周六,16°,5°,阴~小雨,无持续风向微风,104 轻度
2016-03-13 周日,12°,9°,小雨~多云,北风3-4级,89 良
2016-03-14 周一,17°,9°,晴,无持续风向微风,127 轻度
2016-03-15 周二,13°,10°,阴,无持续风向微风,140 轻度
2016-03-16 周三,16°,10°,阵雨~小雨,无持续风向微风,149 轻度
2016-03-17 周四,17°,13°,阵雨~雷阵雨,无持续风向微风,150 轻度
2016-03-18 周五,17°,14°,小雨~多云,无持续风向微风,113 轻度
2016-03-19 周六,22°,12°,晴,无持续风向微风,105 轻度
2016-03-20 周日,17°,14°,小雨,无持续风向微风,104 轻度
2016-03-21 周一,15°,12°,阵雨,无持续风向微风,53 良
2016-03-22 周二,14°,11°,小雨~小到中雨,无持续风向微风,49 优
2016-03-23 周三,15°,12°,小雨~阴,北风3-4级,73 良
2016-03-24 周四,14°,6°,多云,北风3-4级,55 良
2016-03-25 周五,16°,6°,晴,无持续风向微风,51 良
2016-03-26 周六,17°,7°,晴~多云,无持续风向微风,74 良
2016-03-27 周日,17°,6°,晴,无持续风向微风,80 良
2016-03-28 周一,20°,9°,晴~多云,无持续风向微风,96 良
2016-03-29 周二,18°,13°,阴~阵雨,无持续风向微风,121 轻度
2016-03-30 周三,16°,12°,小到中雨~小雨,无持续风向微风,89 良
2016-03-31 周四,19°,13°,多云,无持续风向微风,98 良
2016-04-01 周五,26°,17°,多云~阵雨,无持续风向微风,122 轻度
2016-04-02 周六,26°,18°,雷阵雨,无持续风向微风,140 轻度
2016-04-03 周日,22°,15°,中雨~小雨,北风3-4级,66 良
2016-04-04 周一,20°,13°,多云,无持续风向微风,48 优
2016-04-05 周二,25°,19°,多云~阴,无持续风向微风,76 良
2016-04-06 周三,27°,19°,雷阵雨~中到大雨,无持续风向微风,76 良
2016-04-07 周四,18°,15°,中雨~小雨,无持续风向微风,36 优
2016-04-08 周五,21°,15°,阴~多云,无持续风向微风,57 良
2016-04-09 周六,21°,17°,小到中雨~阵雨,无持续风向微风,51 良
2016-04-10 周日,22°,16°,阵雨~阴,无持续风向微风,64 良
2016-04-11 周一,24°,17°,多云,无持续风向微风,75 良
2016-04-12 周二,26°,18°,小到中雨~大雨,无持续风向微风,68 良
2016-04-13 周三,26°,18°,多云,无持续风向微风,56 良
2016-04-14 周四,24°,18°,阵雨,无持续风向微风,69 良
2016-04-15 周五,23°,20°,小到中雨~中雨,无持续风向微风,51 良
2016-04-16 周六,24°,15°,中雨~阴,无持续风向微风,37 优
2016-04-17 周日,22°,13°,小雨~多云,北风3-4级,43 优
2016-04-18 周一,23°,14°,晴,无持续风向微风,50 优
2016-04-19 周二,26°,15°,多云~阴,无持续风向微风,68 良
2016-04-20 周三,26°,19°,中雨,无持续风向微风,57 良
2016-04-21 周四,24°,18°,阴~多云,无持续风向微风,35 优
2016-04-22 周五,21°,17°,中雨~大到暴雨,无持续风向微风,47 优
2016-04-23 周六,20°,16°,大雨~阴,无持续风向微风,37 优
2016-04-24 周日,20°,16°,阵雨~多云,无持续风向微风,37 优
2016-04-25 周一,21°,16°,阴~小雨,无持续风向微风,46 优
2016-04-26 周二,24°,18°,小到中雨~阴,无持续风向微风,32 优
2016-04-27 周三,24°,16°,多云~晴,无持续风向微风,52 良
2016-04-28 周四,25°,16°,晴,无持续风向微风,54 良
2016-04-29 周五,26°,18°,晴~多云,无持续风向微风,61 良
2016-04-30 周六,26°,19°,阵雨~小到中雨,无持续风向微风,80 良
2016-05-01 周日,25°,21°,雷阵雨~小到中雨,无持续风向微风,58 良
2016-05-02 周一,27°,21°,中雨~阵雨,无持续风向微风,45 优
2016-05-03 周二,29°,19°,晴,无持续风向微风,59 良
2016-05-04 周三,29°,21°,多云~阴,无持续风向微风,71 良
2016-05-05 周四,28°,22°,中雨~雷阵雨,无持续风向微风,40 优
2016-05-06 周五,28°,22°,阵雨~中雨,无持续风向微风,54 良
2016-05-07 周六,26°,20°,小到中雨,无持续风向微风,48 优
2016-05-08 周日,22°,18°,中雨,无持续风向微风,51 良
2016-05-09 周一,22°,18°,小到中雨~阴,无持续风向微风,48 优
2016-05-10 周二,24°,17°,多云~晴,无持续风向微风,47 优
2016-05-11 周三,27°,19°,晴,无持续风向微风,72 良
2016-05-12 周四,31°,20°,晴,无持续风向微风,80 良
2016-05-13 周五,29°,20°,晴,无持续风向微风,78 良
2016-05-14 周六,30°,17°,多云~阵雨,无持续风向微风,89 良
2016-05-15 周日,27°,16°,中雨~多云,无持续风向3-4级,54 良
2016-05-16 周一,24°,15°,晴,无持续风向微风,52 良
2016-05-17 周二,26°,18°,晴,无持续风向微风,58 良
2016-05-18 周三,27°,21°,多云~阵雨,无持续风向微风,66 良
2016-05-19 周四,23°,20°,小到中雨~中到大雨,无持续风向微风,66 良
2016-05-20 周五,22°,19°,中到大雨~小雨,无持续风向微风,37 优
2016-05-21 周六,22°,19°,阴,无持续风向微风,30 优
2016-05-22 周日,24°,19°,多云,无持续风向微风,36 优
2016-05-23 周一,26°,21°,多云~阴,无持续风向微风,47 优
2016-05-24 周二,25°,19°,阴~多云,无持续风向微风,56 良
2016-05-25 周三,26°,21°,阵雨~中雨,无持续风向微风,51 良
2016-05-26 周四,25°,20°,中雨~阴,无持续风向微风,34 优
2016-05-27 周五,29°,22°,多云~中雨,无持续风向微风,64 良
2016-05-28 周六,24°,21°,小雨~中雨,无持续风向微风,49 优
2016-05-29 周日,25°,22°,阵雨~阴,无持续风向微风,35 优
2016-05-30 周一,28°,23°,多云,无持续风向微风,61 良
2016-05-31 周二,33°,25°,多云,无持续风向微风,69 良
2016-06-01 周三,29°,22°,雷阵雨~中雨,无持续风向微风,46 优
2016-06-02 周四,23°,20°,大到暴雨~中到大雨,无持续风向微风,26 优
2016-06-03 周五,22°,20°,中雨~阴,无持续风向微风,25 优
2016-06-04 周六,28°,20°,多云~晴,无持续风向微风,47 优
2016-06-05 周日,30°,22°,晴,无持续风向微风,68 良
2016-06-06 周一,32°,24°,晴,无持续风向微风,75 良
2016-06-07 周二,32°,24°,晴,无持续风向微风,63 良
2016-06-08 周三,31°,24°,雷阵雨~多云,无持续风向微风,53 良
2016-06-09 周四,32°,24°,晴~多云,无持续风向微风,63 良
2016-06-10 周五,32°,25°,多云~雷阵雨,无持续风向微风,69 良
2016-06-11 周六,30°,24°,小到中雨~中雨,无持续风向微风,32 优
2016-06-12 周日,26°,23°,中雨~阴,无持续风向微风,31 优
2016-06-13 周一,31°,23°,晴,无持续风向微风,47 优
2016-06-14 周二,31°,24°,雷阵雨~中雨,无持续风向微风,65 良
2016-06-15 周三,26°,22°,大到暴雨~中雨,无持续风向微风,34 优
2016-06-16 周四,27°,20°,多云,无持续风向微风,51 良
2016-06-17 周五,31°,23°,晴~雷阵雨,无持续风向微风,55 良
2016-06-18 周六,31°,25°,中到大雨~雷阵雨,无持续风向微风,37 优
2016-06-19 周日,32°,27°,雷阵雨~多云,无持续风向微风,29 优
2016-06-20 周一,34°,27°,雷阵雨~多云,无持续风向微风,42 优
2016-06-21 周二,35°,27°,晴,无持续风向微风,50 优
2016-06-22 周三,36°,28°,晴,无持续风向微风,53 良
2016-06-23 周四,37°,29°,晴,无持续风向微风,57 良
2016-06-24 周五,36°,27°,晴~多云,无持续风向微风,52 良
2016-06-25 周六,28°,24°,雷阵雨~阵雨,无持续风向微风,37 优
2016-06-26 周日,28°,23°,阵雨~多云,无持续风向微风,36 优
2016-06-27 周一,33°,25°,雷阵雨~多云,无持续风向微风,48 优
2016-06-28 周二,33°,26°,阵雨,无持续风向微风,54 良
2016-06-29 周三,31°,25°,雷阵雨~阴,无持续风向微风,29 优
2016-06-30 周四,33°,25°,雷阵雨~多云,无持续风向微风,31 优
2016-07-01 周五,32°,26°,阵雨~多云,无持续风向微风,33 优
2016-07-02 周六,31°,26°,阵雨,无持续风向微风,40 优
2016-07-03 周日,30°,26°,阵雨~阴,无持续风向微风,35 优
2016-07-04 周一,28°,25°,阵雨,无持续风向微风,35 优
2016-07-05 周二,31°,27°,多云,无持续风向微风,34 优
2016-07-06 周三,33°,27°,多云~晴,无持续风向微风,43 优
2016-07-07 周四,34°,27°,多云~晴,无持续风向微风,43 优
2016-07-08 周五,35°,26°,晴,无持续风向微风,51 良
2016-07-09 周六,33°,26°,多云~小雨,无持续风向微风,48 优
2016-07-10 周日,32°,27°,小到中雨,无持续风向微风,51 良
2016-07-11 周一,33°,27°,阵雨,无持续风向微风,48 优
2016-07-12 周二,33°,27°,多云,无持续风向微风,62 良
2016-07-13 周三,33°,27°,多云,无持续风向微风,54 良
2016-07-14 周四,34°,28°,多云,无持续风向微风,36 优
2016-07-15 周五,34°,26°,雷阵雨,无持续风向微风,46 优
2016-07-16 周六,30°,26°,阵雨~阴,无持续风向微风,24 优
2016-07-17 周日,30°,26°,中雨~中到大雨,无持续风向微风,28 优
2016-07-18 周一,28°,26°,中到大雨~阴,无持续风向微风,27 优
2016-07-19 周二,32°,26°,多云,无持续风向微风,38 优
2016-07-20 周三,34°,28°,多云,无持续风向微风,36 优
2016-07-21 周四,35°,27°,晴,无持续风向微风,42 优
2016-07-22 周五,36°,28°,晴,无持续风向微风,54 良
2016-07-23 周六,36°,27°,晴,无持续风向微风,65 良
2016-07-24 周日,37°,29°,晴,无持续风向微风,70 良
2016-07-25 周一,38°,29°,晴,无持续风向微风,80 良
2016-07-26 周二,38°,29°,晴,无持续风向微风,84 良
2016-07-27 周三,38°,29°,晴,无持续风向微风,73 良
2016-07-28 周四,37°,29°,晴,无持续风向微风,64 良
2016-07-29 周五,38°,29°,晴,无持续风向微风,61 良
2016-07-30 周六,38°,29°,晴,无持续风向微风,65 良
2016-07-31 周日,38°,29°,晴,无持续风向微风,64 良
2016-08-01 周一,37°,29°,晴~多云,无持续风向微风,52 良
2016-08-02 周二,36°,29°,多云,无持续风向微风,37 优
2016-08-03 周三,34°,27°,雷阵雨~阵雨,无持续风向微风,33 优
2016-08-04 周四,33°,27°,多云,无持续风向微风,36 优
2016-08-05 周五,34°,27°,多云,无持续风向微风,37 优
2016-08-06 周六,33°,26°,多云,无持续风向微风,44 优
2016-08-07 周日,34°,27°,雷阵雨~阵雨,无持续风向微风,49 优
2016-08-08 周一,34°,27°,雷阵雨~多云,无持续风向微风,53 良
2016-08-09 周二,35°,27°,多云,无持续风向微风,50 优
2016-08-10 周三,33°,27°,雷阵雨~阴,无持续风向微风,36 优
2016-08-11 周四,35°,27°,多云,无持续风向微风,41 优
2016-08-12 周五,36°,28°,晴,无持续风向微风,34 优
2016-08-13 周六,36°,29°,晴~多云,无持续风向微风,37 优
2016-08-14 周日,36°,29°,晴,无持续风向微风,34 优
2016-08-15 周一,36°,30°,晴,无持续风向微风,49 优
2016-08-16 周二,37°,29°,晴,无持续风向微风,55 良
2016-08-17 周三,37°,29°,晴,无持续风向微风,63 良
2016-08-18 周四,37°,30°,晴,无持续风向微风,40 优
2016-08-19 周五,37°,28°,晴~多云,无持续风向微风,40 优
2016-08-20 周六,37°,30°,晴~雷阵雨,无持续风向微风,55 良
2016-08-21 周日,35°,28°,雷阵雨~多云,无持续风向微风,48 优
2016-08-22 周一,35°,28°,多云,无持续风向微风,60 良
2016-08-23 周二,35°,29°,晴,无持续风向微风,63 良
2016-08-24 周三,36°,29°,晴,无持续风向微风,60 良
2016-08-25 周四,36°,29°,晴~多云,无持续风向微风,64 良
2016-08-26 周五,36°,24°,晴~多云,无持续风向微风,59 良
2016-08-27 周六,32°,24°,多云,无持续风向微风,44 优
2016-08-28 周日,31°,22°,晴,无持续风向微风,53 良
2016-08-29 周一,31°,22°,晴,无持续风向微风,53 良
2016-08-30 周二,32°,24°,晴~多云,无持续风向微风,63 良
2016-08-31 周三,31°,23°,多云~阵雨,无持续风向微风,77 良
2016-09-01 周四,28°,23°,阵雨,无持续风向微风,51 良
2016-09-02 周五,32°,23°,晴~多云,无持续风向微风,61 良
2016-09-03 周六,32°,24°,多云,无持续风向微风,69 良
2016-09-04 周日,31°,25°,多云,无持续风向微风,60 良
2016-09-05 周一,32°,24°,多云,无持续风向微风,64 良
2016-09-06 周二,30°,23°,阴~阵雨,无持续风向微风,43 优
2016-09-07 周三,30°,23°,多云,无持续风向微风,42 优
2016-09-08 周四,32°,24°,多云,无持续风向微风,61 良
2016-09-09 周五,32°,23°,多云~阵雨,无持续风向微风,94 良
2016-09-10 周六,28°,22°,中雨,无持续风向微风,67 良
2016-09-11 周日,27°,22°,阵雨~多云,无持续风向微风,67 良
2016-09-12 周一,30°,23°,多云~晴,无持续风向微风,37 优
2016-09-13 周二,30°,22°,晴,无持续风向微风,58 良
2016-09-14 周三,31°,24°,晴~多云,无持续风向微风,54 良
2016-09-15 周四,28°,23°,阵雨~大雨,无持续风向微风,45 优
2016-09-16 周五,28°,22°,阴~多云,无持续风向微风,27 优
2016-09-17 周六,29°,22°,多云,无持续风向微风,31 优
2016-09-18 周日,29°,22°,多云,无持续风向微风,47 优
2016-09-19 周一,27°,20°,晴,无持续风向微风,68 良
2016-09-20 周二,27°,20°,晴,无持续风向微风,59 良
2016-09-21 周三,27°,19°,多云,无持续风向微风,66 良
2016-09-22 周四,29°,20°,晴,无持续风向微风,78 良
2016-09-23 周五,30°,22°,晴~多云,无持续风向微风,96 良
2016-09-24 周六,31°,23°,多云~晴,无持续风向微风,109 轻度
2016-09-25 周日,34°,25°,晴,无持续风向微风,108 轻度
2016-09-26 周一,34°,24°,晴,无持续风向微风,90 良
2016-09-27 周二,34°,26°,晴~多云,无持续风向微风,84 良
2016-09-28 周三,29°,20°,中雨~大雨,无持续风向微风,69 良
2016-09-29 周四,23°,20°,中到大雨~小到中雨,无持续风向微风,24 优
2016-09-30 周五,24°,19°,阴,无持续风向微风,24 优
2016-10-01 周六,22°,22°,阴~阵雨,无持续风向微风,42 优
2016-10-02 周日,27°,22°,多云,无持续风向微风,63 良
2016-10-03 周一,27°,21°,多云,无持续风向微风,32 优
2016-10-04 周二,28°,22°,多云~晴,无持续风向微风,48 优
2016-10-05 周三,28°,22°,多云~阴,无持续风向微风,63 良
2016-10-06 周四,26°,21°,多云~阴,无持续风向微风,75 良
2016-10-07 周五,27°,21°,阴,无持续风向微风,43 优
2016-10-08 周六,25°,18°,阴~多云,无持续风向微风,49 优
2016-10-09 周日,23°,17°,晴,无持续风向微风,61 良
2016-10-10 周一,23°,17°,晴,无持续风向微风,51 良
2016-10-11 周二,25°,19°,晴~多云,无持续风向微风,55 良
2016-10-12 周三,22°,19°,阴,无持续风向微风,59 良
2016-10-13 周四,23°,18°,阴,无持续风向微风,60 良
2016-10-14 周五,24°,19°,多云,无持续风向微风,72 良
2016-10-15 周六,27°,20°,晴,无持续风向微风,69 良
2016-10-16 周日,27°,20°,多云,无持续风向微风,78 良
2016-10-17 周一,25°,21°,多云,无持续风向微风,64 良
2016-10-18 周二,26°,21°,阴,无持续风向微风,72 良
2016-10-19 周三,24°,21°,阵雨~阴,无持续风向微风,71 良
2016-10-20 周四,27°,22°,多云,无持续风向微风,42 优
2016-10-21 周五,28°,20°,阵雨~小到中雨,无持续风向微风,52 良
2016-10-22 周六,23°,19°,中到大雨~阵雨,无持续风向微风,25 优
2016-10-23 周日,22°,19°,阴~多云,无持续风向微风,32 优
2016-10-24 周一,25°,19°,多云~阵雨,无持续风向微风,47 优
2016-10-25 周二,24°,21°,阴~多云,无持续风向微风,46 优
2016-10-26 周三,27°,20°,多云,无持续风向微风,64 良
2016-10-27 周四,28°,17°,晴~多云,无持续风向微风,55 良
2016-10-28 周五,19°,14°,阴,无持续风向微风,41 优
2016-10-29 周六,14°,12°,阴,北风3-4级,25 优
2016-10-30 周日,17°,13°,阴,无持续风向微风,36 优
2016-10-31 周一,15°,12°,小雨~阴,无持续风向微风,40 优
2016-11-01 周二,16°,12°,多云,无持续风向微风,30 优
2016-11-02 周三,19°,11°,多云~晴,无持续风向微风,43 优
2016-11-03 周四,21°,12°,晴,无持续风向微风,55 良
2016-11-04 周五,21°,12°,晴,无持续风向微风,89 良
2016-11-05 周六,24°,13°,晴,无持续风向微风,131 轻度
2016-11-06 周日,26°,16°,晴~多云,无持续风向微风,116 轻度
2016-11-07 周一,19°,13°,中雨~小雨,无持续风向微风,109 轻度
2016-11-08 周二,13°,11°,阵雨,北风3-4级,28 优
2016-11-09 周三,10°,7°,小雨~阴,北风3-4级,47 优
2016-11-10 周四,16°,8°,多云~晴,无持续风向微风,45 优
2016-11-11 周五,18°,9°,晴~阴,无持续风向微风,60 良
2016-11-12 周六,18°,13°,阴,无持续风向微风,73 良
2016-11-13 周日,17°,14°,小雨,无持续风向微风,30 优
2016-11-14 周一,17°,15°,小雨,无持续风向微风,37 优
2016-11-15 周二,20°,16°,阴,无持续风向微风,91 良
2016-11-16 周三,20°,17°,阴~多云,无持续风向微风,97 良
2016-11-17 周四,21°,17°,阴~多云,无持续风向微风,83 良
2016-11-18 周五,24°,18°,多云~阴,无持续风向微风,73 良
2016-11-19 周六,24°,18°,多云~阵雨,无持续风向微风,82 良
2016-11-20 周日,22°,18°,阴~阵雨,无持续风向微风,59 良
2016-11-21 周一,23°,16°,雾~多云,无持续风向微风,61 良
2016-11-22 周二,18°,6°,阵雨~小雨,无持续风向微风,36 优
2016-11-23 周三,6°,4°,小雨~阴,北风4-5级,16 优
2016-11-24 周四,7°,3°,阴,北风3-4级,29 优
2016-11-25 周五,8°,5°,阴~小雨,无持续风向微风,55 良
2016-11-26 周六,11°,5°,多云~晴,无持续风向微风,52 良
2016-11-27 周日,14°,6°,晴,无持续风向微风,69 良
2016-11-28 周一,14°,6°,晴,无持续风向微风,79 良
2016-11-29 周二,15°,7°,多云,无持续风向微风,96 良
2016-11-30 周三,14°,7°,多云~晴,无持续风向微风,96 良
2016-12-01 周四,16°,8°,晴,无持续风向微风,92 良
2016-12-02 周五,15°,8°,晴,无持续风向微风,94 良
2016-12-03 周六,16°,9°,多云~晴,无持续风向微风,140 轻度
2016-12-04 周日,17°,8°,晴,无持续风向微风,158 中度
2016-12-05 周一,19°,6°,晴~多云,无持续风向微风,177 中度
2016-12-06 周二,14°,6°,多云~晴,无持续风向3-4级,194 中度
2016-12-07 周三,15°,7°,晴,无持续风向微风,221 重度
2016-12-08 周四,17°,7°,晴~雾,无持续风向微风,218 重度
2016-12-09 周五,17°,8°,晴,无持续风向微风,178 中度
2016-12-10 周六,15°,7°,晴,无持续风向微风,130 轻度
2016-12-11 周日,16°,8°,多云,无持续风向微风,93 良
2016-12-12 周一,15°,10°,小雨,无持续风向微风,142 轻度
2016-12-13 周二,14°,8°,阴,北风3-4级,68 良
2016-12-14 周三,10°,4°,多云~晴,北风3-4级,62 良
2016-12-15 周四,10°,3°,晴,无持续风向微风,51 良
2016-12-16 周五,11°,3°,晴,无持续风向微风,84 良
2016-12-17 周六,13°,5°,晴,无持续风向微风,109 轻度
2016-12-18 周日,18°,10°,多云,无持续风向微风,106 轻度
2016-12-19 周一,14°,11°,小到中雨,无持续风向微风,87 良
2016-12-20 周二,16°,11°,小到中雨~小雨,无持续风向微风,83 良
2016-12-21 周三,14°,7°,中雨~阴,无持续风向微风,73 良
2016-12-22 周四,15°,5°,晴,无持续风向微风,66 良
2016-12-23 周五,15°,8°,晴~多云,无持续风向微风,88 良
2016-12-24 周六,12°,10°,阴,无持续风向微风,79 良
2016-12-25 周日,13°,8°,阵雨~小雨,无持续风向微风,73 良
2016-12-26 周一,8°,6°,小雨~阴,北风3-4级,22 优
2016-12-27 周二,9°,2°,多云~晴,无持续风向微风,50 优
2016-12-28 周三,9°,2°,晴,无持续风向微风,80 良
2016-12-29 周四,10°,3°,晴,无持续风向微风,62 良
2016-12-30 周五,11°,3°,晴,无持续风向微风,85 良
2016-12-31 周六,13°,5°,晴,无持续风向微风,94 良
2017-01-01 周日,16°,7°,晴~多云,无持续风向微风,130 轻度
2017-01-02 周一,17°,10°,多云,无持续风向微风,134 轻度
2017-01-03 周二,17°,12°,多云,无持续风向微风,175 中度
2017-01-04 周三,19°,13°,多云~阴,无持续风向微风,213 重度
2017-01-05 周四,17°,11°,阵雨,无持续风向微风,179 中度
2017-01-06 周五,13°,10°,小雨,无持续风向微风,29 优
2017-01-07 周六,10°,7°,中雨~阴,无持续风向微风,18 优
2017-01-08 周日,13°,6°,多云~晴,无持续风向微风,29 优
2017-01-09 周一,12°,6°,晴~多云,无持续风向微风,80 良
2017-01-10 周二,10°,7°,多云~阴,无持续风向微风,112 轻度
2017-01-11 周三,8°,5°,小雨~小到中雨,无持续风向微风,104 轻度
2017-01-12 周四,7°,6°,小雨~阴,无持续风向微风,66 良
2017-01-13 周五,11°,6°,多云~阴,无持续风向微风,65 良
2017-01-14 周六,10°,5°,多云,无持续风向微风,97 良
2017-01-15 周日,9°,3°,多云,无持续风向微风,73 良
2017-01-16 周一,11°,6°,晴~阴,无持续风向微风,71 良
2017-01-17 周二,10°,7°,阴~小雨,无持续风向微风,75 良
2017-01-18 周三,9°,6°,小雨,无持续风向微风,90 良
2017-01-19 周四,9°,4°,阴~多云,无持续风向微风,99 良
2017-01-20 周五,8°,1°,晴,无持续风向微风,117 轻度
2017-01-21 周六,10°,2°,晴,无持续风向微风,75 良
2017-01-22 周日,12°,3°,晴,无持续风向微风,99 良
2017-01-23 周一,13°,4°,晴,无持续风向微风,78 良
2017-01-24 周二,14°,7°,多云~阴,无持续风向微风,78 良
2017-01-25 周三,14°,6°,多云~晴,无持续风向微风,73 良
2017-01-26 周四,15°,5°,晴,无持续风向微风,88 良
2017-01-27 周五,15°,5°,晴,无持续风向微风,95 良
2017-01-28 周六,19°,8°,晴,无持续风向微风,225 重度
2017-01-29 周日,21°,7°,多云~阴,无持续风向微风,137 轻度
2017-01-30 周一,9°,5°,多云,北风3-4级,92 良
2017-01-31 周二,10°,4°,多云~阴,无持续风向微风,67 良
2017-02-01 周三,8°,6°,阵雨~阴,无持续风向微风,77 良
2017-02-02 周四,9°,5°,多云,无持续风向微风,72 良
2017-02-03 周五,12°,8°,多云~小到中雨,无持续风向微风,108 轻度
2017-02-04 周六,11°,5°,小雨~多云,无持续风向微风,83 良
2017-02-05 周日,13°,7°,多云~晴,无持续风向微风,54 良
2017-02-06 周一,14°,7°,多云~晴,无持续风向微风,63 良
2017-02-07 周二,12°,5°,阵雨~小雨,无持续风向微风,80 良
2017-02-08 周三,6°,3°,小雨~多云,北风3-4级,30 优
2017-02-09 周四,8°,1°,多云~晴,无持续风向微风,84 良
2017-02-10 周五,9°,1°,晴,无持续风向微风,89 良
2017-02-11 周六,11°,1°,晴,无持续风向微风,87 良
2017-02-12 周日,13°,4°,晴,无持续风向微风,152 中度
2017-02-13 周一,16°,5°,晴,无持续风向微风,111 轻度
2017-02-14 周二,18°,6°,晴,无持续风向微风,73 良
2017-02-15 周三,20°,9°,晴,无持续风向微风,89 良
