weather_date,date,month_day,weekday,weather,highest_temp,lowest_temp,temp_difference,wind_direction,power,direction,air_quality,air_measure,air_degree
2016-01-31 周日,2016-01-31,01-31,周日,小到中雨~小雨,6,2,4,北风3-4级,北风,3-4级,62 良,62,良
2016-02-01 周一,2016-02-01,02-01,周一,阴~多云,4,0,4,北风3-4级,北风,3-4级,93 良,93,良
2016-02-02 周二,2016-02-02,02-02,周二,多云~晴,6,0,6,北风3-4级,北风,3-4级,113 轻度,113,轻度
2016-02-03 周三,2016-02-03,02-03,周三,晴~阴,9,2,7,无持续风向微风,无持续风向,微风,93 良,93,良
2016-02-04 周四,2016-02-04,02-04,周四,阴~多云,9,1,8,无持续风向微风,无持续风向,微风,91 良,91,良
2016-02-05 周五,2016-02-05,02-05,周五,晴,11,1,10,无持续风向微风,无持续风向,微风,105 轻度,105,轻度
2016-02-06 周六,2016-02-06,02-06,周六,晴,11,3,8,无持续风向微风,无持续风向,微风,92 良,92,良
2016-02-07 周日,2016-02-07,02-07,周日,晴,13,3,10,无持续风向微风,无持续风向,微风,131 轻度,131,轻度
2016-02-08 周一,2016-02-08,02-08,周一,晴,17,5,12,无持续风向微风,无持续风向,微风,249 重度,249,重度
2016-02-09 周二,2016-02-09,02-09,周二,晴,19,5,14,无持续风向微风,无持续风向,微风,101 轻度,101,轻度
2016-02-10 周三,2016-02-10,02-10,周三,晴~多云,22,9,13,无持续风向微风,无持续风向,微风,93 良,93,良
2016-02-11 周四,2016-02-11,02-11,周四,多云~阵雨,23,15,8,无持续风向微风,无持续风向,微风,62 良,62,良
2016-02-12 周五,2016-02-12,02-12,周五,雷阵雨~中雨,25,17,8,无持续风向微风,无持续风向,微风,66 良,66,良
2016-02-13 周六,2016-02-13,02-13,周六,小雨,14,5,9,无持续风向微风,无持续风向,微风,47 优,47,优
2016-02-14 周日,2016-02-14,02-14,周日,雨夹雪~阴,5,2,3,北风4-5级,北风,4-5级,39 优,39,优
2016-02-15 周一,2016-02-15,02-15,周一,晴,9,2,7,无持续风向微风,无持续风向,微风,51 良,51,良
2016-02-16 周二,2016-02-16,02-16,周二,晴,11,2,9,无持续风向微风,无持续风向,微风,44 优,44,优
2016-02-17 周三,2016-02-17,02-17,周三,晴,13,3,10,无持续风向微风,无持续风向,微风,64 良,64,良
2016-02-18 周四,2016-02-18,02-18,周四,多云~小雨,16,8,8,无持续风向微风,无持续风向,微风,78 良,78,良
2016-02-19 周五,2016-02-19,02-19,周五,多云,16,7,9,无持续风向微风,无持续风向,微风,75 良,75,良
2016-02-20 周六,2016-02-20,02-20,周六,晴~多云,15,7,8,无持续风向微风,无持续风向,微风,114 轻度,114,轻度
2016-02-21 周日,2016-02-21,02-21,周日,阴~小雨,12,5,7,无持续风向微风,无持续风向,微风,124 轻度,124,轻度
2016-02-22 周一,2016-02-22,02-22,周一,小雨,9,6,3,无持续风向微风,无持续风向,微风,64 良,64,良
2016-02-23 周二,2016-02-23,02-23,周二,小雨,9,6,3,北风3-4级,北风,3-4级,77 良,77,良
2016-02-24 周三,2016-02-24,02-24,周三,阴~多云,12,5,7,无持续风向微风,无持续风向,微风,112 轻度,112,轻度
2016-02-25 周四,2016-02-25,02-25,周四,多云~阵雨,13,6,7,无持续风向微风,无持续风向,微风,140 轻度,140,轻度
2016-02-26 周五,2016-02-26,02-26,周五,多云~晴,15,6,9,无持续风向微风,无持续风向,微风,81 良,81,良
2016-02-27 周六,2016-02-27,02-27,周六,晴,18,7,11,无持续风向微风,无持续风向,微风,61 良,61,良
2016-02-28 周日,2016-02-28,02-28,周日,晴,20,8,12,无持续风向微风,无持续风向,微风,80 良,80,良
2016-02-29 周一,2016-02-29,02-29,周一,晴,16,5,11,北风3-4级,北风,3-4级,120 轻度,120,轻度
2016-03-01 周二,2016-03-01,03-01,周二,晴,19,7,12,无持续风向微风,无持续风向,微风,99 良,99,良
2016-03-02 周三,2016-03-02,03-02,周三,晴~多云,22,10,12,无持续风向微风,无持续风向,微风,121 轻度,121,轻度
2016-03-03 周四,2016-03-03,03-03,周四,多云~阵雨,24,13,11,无持续风向微风,无持续风向,微风,166 中度,166,中度
2016-03-04 周五,2016-03-04,03-04,周五,多云~阴,23,14,9,无持续风向微风,无持续风向,微风,153 中度,153,中度
2016-03-05 周六,2016-03-05,03-05,周六,多云~阴,22,14,8,无持续风向微风,无持续风向,微风,106 轻度,106,轻度
2016-03-06 周日,2016-03-06,03-06,周日,晴,24,14,10,无持续风向微风,无持续风向,微风,168 中度,168,中度
2016-03-07 周一,2016-03-07,03-07,周一,多云~雷阵雨,25,15,10,无持续风向微风,无持续风向,微风,117 轻度,117,轻度
2016-03-08 周二,2016-03-08,03-08,周二,中雨~小雨,20,7,13,北风4-5级,北风,4-5级,61 良,61,良
2016-03-09 周三,2016-03-09,03-09,周三,小雨~雨夹雪,9,4,5,北风3-4级,北风,3-4级,36 优,36,优
2016-03-10 周四,2016-03-10,03-10,周四,阴~多云,8,3,5,无持续风向微风,无持续风向,微风,47 优,47,优
2016-03-11 周五,2016-03-11,03-11,周五,晴,12,4,8,无持续风向微风,无持续风向,微风,76 良,76,良
2016-03-12 周六,2016-03-12,03-12,周六,阴~小雨,16,5,11,无持续风向微风,无持续风向,微风,104 轻度,104,轻度
2016-03-13 周日,2016-03-13,03-13,周日,小雨~多云,12,9,3,北风3-4级,北风,3-4级,89 良,89,良
2016-03-14 周一,2016-03-14,03-14,周一,晴,17,9,8,无持续风向微风,无持续风向,微风,127 轻度,127,轻度
2016-03-15 周二,2016-03-15,03-15,周二,阴,13,10,3,无持续风向微风,无持续风向,微风,140 轻度,140,轻度
2016-03-16 周三,2016-03-16,03-16,周三,阵雨~小雨,16,10,6,无持续风向微风,无持续风向,微风,149 轻度,149,轻度
2016-03-17 周四,2016-03-17,03-17,周四,阵雨~雷阵雨,17,13,4,无持续风向微风,无持续风向,微风,150 轻度,150,轻度
2016-03-18 周五,2016-03-18,03-18,周五,小雨~多云,17,14,3,无持续风向微风,无持续风向,微风,113 轻度,113,轻度
2016-03-19 周六,2016-03-19,03-19,周六,晴,22,12,10,无持续风向微风,无持续风向,微风,105 轻度,105,轻度
2016-03-20 周日,2016-03-20,03-20,周日,小雨,17,14,3,无持续风向微风,无持续风向,微风,104 轻度,104,轻度
2016-03-21 周一,2016-03-21,03-21,周一,阵雨,15,12,3,无持续风向微风,无持续风向,微风,53 良,53,良
2016-03-22 周二,2016-03-22,03-22,周二,小雨~小到中雨,14,11,3,无持续风向微风,无持续风向,微风,49 优,49,优
2016-03-23 周三,2016-03-23,03-23,周三,小雨~阴,15,12,3,北风3-4级,北风,3-4级,73 良,73,良
2016-03-24 周四,2016-03-24,03-24,周四,多云,14,6,8,北风3-4级,北风,3-4级,55 良,55,良
2016-03-25 周五,2016-03-25,03-25,周五,晴,16,6,10,无持续风向微风,无持续风向,微风,51 良,51,良
2016-03-26 周六,2016-03-26,03-26,周六,晴~多云,17,7,10,无持续风向微风,无持续风向,微风,74 良,74,良
2016-03-27 周日,2016-03-27,03-27,周日,晴,17,6,11,无持续风向微风,无持续风向,微风,80 良,80,良
2016-03-28 周一,2016-03-28,03-28,周一,晴~多云,20,9,11,无持续风向微风,无持续风向,微风,96 良,96,良
2016-03-29 周二,2016-03-29,03-29,周二,阴~阵雨,18,13,5,无持续风向微风,无持续风向,微风,121 轻度,121,轻度
2016-03-30 周三,2016-03-30,03-30,周三,小到中雨~小雨,16,12,4,无持续风向微风,无持续风向,微风,89 良,89,良
2016-03-31 周四,2016-03-31,03-31,周四,多云,19,13,6,无持续风向微风,无持续风向,微风,98 良,98,良
2016-04-01 周五,2016-04-01,04-01,周五,多云~阵雨,26,17,9,无持续风向微风,无持续风向,微风,122 轻度,122,轻度
2016-04-02 周六,2016-04-02,04-02,周六,雷阵雨,26,18,8,无持续风向微风,无持续风向,微风,140 轻度,140,轻度
2016-04-03 周日,2016-04-03,04-03,周日,中雨~小雨,22,15,7,北风3-4级,北风,3-4级,66 良,66,良
2016-04-04 周一,2016-04-04,04-04,周一,多云,20,13,7,无持续风向微风,无持续风向,微风,48 优,48,优
2016-04-05 周二,2016-04-05,04-05,周二,多云~阴,25,19,6,无持续风向微风,无持续风向,微风,76 良,76,良
2016-04-06 周三,2016-04-06,04-06,周三,雷阵雨~中到大雨,27,19,8,无持续风向微风,无持续风向,微风,76 良,76,良
2016-04-07 周四,2016-04-07,04-07,周四,中雨~小雨,18,15,3,无持续风向微风,无持续风向,微风,36 优,36,优
2016-04-08 周五,2016-04-08,04-08,周五,阴~多云,21,15,6,无持续风向微风,无持续风向,微风,57 良,57,良
2016-04-09 周六,2016-04-09,04-09,周六,小到中雨~阵雨,21,17,4,无持续风向微风,无持续风向,微风,51 良,51,良
2016-04-10 周日,2016-04-10,04-10,周日,阵雨~阴,22,16,6,无持续风向微风,无持续风向,微风,64 良,64,良
2016-04-11 周一,2016-04-11,04-11,周一,多云,24,17,7,无持续风向微风,无持续风向,微风,75 良,75,良
2016-04-12 周二,2016-04-12,04-12,周二,小到中雨~大雨,26,18,8,无持续风向微风,无持续风向,微风,68 良,68,良
2016-04-13 周三,2016-04-13,04-13,周三,多云,26,18,8,无持续风向微风,无持续风向,微风,56 良,56,良
2016-04-14 周四,2016-04-14,04-14,周四,阵雨,24,18,6,无持续风向微风,无持续风向,微风,69 良,69,良
2016-04-15 周五,2016-04-15,04-15,周五,小到中雨~中雨,23,20,3,无持续风向微风,无持续风向,微风,51 良,51,良
2016-04-16 周六,2016-04-16,04-16,周六,中雨~阴,24,15,9,无持续风向微风,无持续风向,微风,37 优,37,优
2016-04-17 周日,2016-04-17,04-17,周日,小雨~多云,22,13,9,北风3-4级,北风,3-4级,43 优,43,优
2016-04-18 周一,2016-04-18,04-18,周一,晴,23,14,9,无持续风向微风,无持续风向,微风,50 优,50,优
2016-04-19 周二,2016-04-19,04-19,周二,多云~阴,26,15,11,无持续风向微风,无持续风向,微风,68 良,68,良
2016-04-20 周三,2016-04-20,04-20,周三,中雨,26,19,7,无持续风向微风,无持续风向,微风,57 良,57,良
2016-04-21 周四,2016-04-21,04-21,周四,阴~多云,24,18,6,无持续风向微风,无持续风向,微风,35 优,35,优
2016-04-22 周五,2016-04-22,04-22,周五,中雨~大到暴雨,21,17,4,无持续风向微风,无持续风向,微风,47 优,47,优
2016-04-23 周六,2016-04-23,04-23,周六,大雨~阴,20,16,4,无持续风向微风,无持续风向,微风,37 优,37,优
2016-04-24 周日,2016-04-24,04-24,周日,阵雨~多云,20,16,4,无持续风向微风,无持续风向,微风,37 优,37,优
2016-04-25 周一,2016-04-25,04-25,周一,阴~小雨,21,16,5,无持续风向微风,无持续风向,微风,46 优,46,优
2016-04-26 周二,2016-04-26,04-26,周二,小到中雨~阴,24,18,6,无持续风向微风,无持续风向,微风,32 优,32,优
2016-04-27 周三,2016-04-27,04-27,周三,多云~晴,24,16,8,无持续风向微风,无持续风向,微风,52 良,52,良
2016-04-28 周四,2016-04-28,04-28,周四,晴,25,16,9,无持续风向微风,无持续风向,微风,54 良,54,良
2016-04-29 周五,2016-04-29,04-29,周五,晴~多云,26,18,8,无持续风向微风,无持续风向,微风,61 良,61,良
2016-04-30 周六,2016-04-30,04-30,周六,阵雨~小到中雨,26,19,7,无持续风向微风,无持续风向,微风,80 良,80,良
2016-05-01 周日,2016-05-01,05-01,周日,雷阵雨~小到中雨,25,21,4,无持续风向微风,无持续风向,微风,58 良,58,良
2016-05-02 周一,2016-05-02,05-02,周一,中雨~阵雨,27,21,6,无持续风向微风,无持续风向,微风,45 优,45,优
2016-05-03 周二,2016-05-03,05-03,周二,晴,29,19,10,无持续风向微风,无持续风向,微风,59 良,59,良
2016-05-04 周三,2016-05-04,05-04,周三,多云~阴,29,21,8,无持续风向微风,无持续风向,微风,71 良,71,良
2016-05-05 周四,2016-05-05,05-05,周四,中雨~雷阵雨,28,22,6,无持续风向微风,无持续风向,微风,40 优,40,优
2016-05-06 周五,2016-05-06,05-06,周五,阵雨~中雨,28,22,6,无持续风向微风,无持续风向,微风,54 良,54,良
2016-05-07 周六,2016-05-07,05-07,周六,小到中雨,26,20,6,无持续风向微风,无持续风向,微风,48 优,48,优
2016-05-08 周日,2016-05-08,05-08,周日,中雨,22,18,4,无持续风向微风,无持续风向,微风,51 良,51,良
2016-05-09 周一,2016-05-09,05-09,周一,小到中雨~阴,22,18,4,无持续风向微风,无持续风向,微风,48 优,48,优
2016-05-10 周二,2016-05-10,05-10,周二,多云~晴,24,17,7,无持续风向微风,无持续风向,微风,47 优,47,优
2016-05-11 周三,2016-05-11,05-11,周三,晴,27,19,8,无持续风向微风,无持续风向,微风,72 良,72,良
2016-05-12 周四,2016-05-12,05-12,周四,晴,31,20,11,无持续风向微风,无持续风向,微风,80 良,80,良
2016-05-13 周五,2016-05-13,05-13,周五,晴,29,20,9,无持续风向微风,无持续风向,微风,78 良,78,良
2016-05-14 周六,2016-05-14,05-14,周六,多云~阵雨,30,17,13,无持续风向微风,无持续风向,微风,89 良,89,良
2016-05-15 周日,2016-05-15,05-15,周日,中雨~多云,27,16,11,无持续风向3-4级,无持续风向,3-4级,54 良,54,良
2016-05-16 周一,2016-05-16,05-16,周一,晴,24,15,9,无持续风向微风,无持续风向,微风,52 良,52,良
2016-05-17 周二,2016-05-17,05-17,周二,晴,26,18,8,无持续风向微风,无持续风向,微风,58 良,58,良
2016-05-18 周三,2016-05-18,05-18,周三,多云~阵雨,27,21,6,无持续风向微风,无持续风向,微风,66 良,66,良
2016-05-19 周四,2016-05-19,05-19,周四,小到中雨~中到大雨,23,20,3,无持续风向微风,无持续风向,微风,66 良,66,良
2016-05-20 周五,2016-05-20,05-20,周五,中到大雨~小雨,22,19,3,无持续风向微风,无持续风向,微风,37 优,37,优
2016-05-21 周六,2016-05-21,05-21,周六,阴,22,19,3,无持续风向微风,无持续风向,微风,30 优,30,优
2016-05-22 周日,2016-05-22,05-22,周日,多云,24,19,5,无持续风向微风,无持续风向,微风,36 优,36,优
2016-05-23 周一,2016-05-23,05-23,周一,多云~阴,26,21,5,无持续风向微风,无持续风向,微风,47 优,47,优
2016-05-24 周二,2016-05-24,05-24,周二,阴~多云,25,19,6,无持续风向微风,无持续风向,微风,56 良,56,良
2016-05-25 周三,2016-05-25,05-25,周三,阵雨~中雨,26,21,5,无持续风向微风,无持续风向,微风,51 良,51,良
2016-05-26 周四,2016-05-26,05-26,周四,中雨~阴,25,20,5,无持续风向微风,无持续风向,微风,34 优,34,优
2016-05-27 周五,2016-05-27,05-27,周五,多云~中雨,29,22,7,无持续风向微风,无持续风向,微风,64 良,64,良
2016-05-28 周六,2016-05-28,05-28,周六,小雨~中雨,24,21,3,无持续风向微风,无持续风向,微风,49 优,49,优
2016-05-29 周日,2016-05-29,05-29,周日,阵雨~阴,25,22,3,无持续风向微风,无持续风向,微风,35 优,35,优
2016-05-30 周一,2016-05-30,05-30,周一,多云,28,23,5,无持续风向微风,无持续风向,微风,61 良,61,良
2016-05-31 周二,2016-05-31,05-31,周二,多云,33,25,8,无持续风向微风,无持续风向,微风,69 良,69,良
2016-06-01 周三,2016-06-01,06-01,周三,雷阵雨~中雨,29,22,7,无持续风向微风,无持续风向,微风,46 优,46,优
2016-06-02 周四,2016-06-02,06-02,周四,大到暴雨~中到大雨,23,20,3,无持续风向微风,无持续风向,微风,26 优,26,优
2016-06-03 周五,2016-06-03,06-03,周五,中雨~阴,22,20,2,无持续风向微风,无持续风向,微风,25 优,25,优
2016-06-04 周六,2016-06-04,06-04,周六,多云~晴,28,20,8,无持续风向微风,无持续风向,微风,47 优,47,优
2016-06-05 周日,2016-06-05,06-05,周日,晴,30,22,8,无持续风向微风,无持续风向,微风,68 良,68,良
2016-06-06 周一,2016-06-06,06-06,周一,晴,32,24,8,无持续风向微风,无持续风向,微风,75 良,75,良
2016-06-07 周二,2016-06-07,06-07,周二,晴,32,24,8,无持续风向微风,无持续风向,微风,63 良,63,良
2016-06-08 周三,2016-06-08,06-08,周三,雷阵雨~多云,31,24,7,无持续风向微风,无持续风向,微风,53 良,53,良
2016-06-09 周四,2016-06-09,06-09,周四,晴~多云,32,24,8,无持续风向微风,无持续风向,微风,63 良,63,良
2016-06-10 周五,2016-06-10,06-10,周五,多云~雷阵雨,32,25,7,无持续风向微风,无持续风向,微风,69 良,69,良
2016-06-11 周六,2016-06-11,06-11,周六,小到中雨~中雨,30,24,6,无持续风向微风,无持续风向,微风,32 优,32,优
2016-06-12 周日,2016-06-12,06-12,周日,中雨~阴,26,23,3,无持续风向微风,无持续风向,微风,31 优,31,优
2016-06-13 周一,2016-06-13,06-13,周一,晴,31,23,8,无持续风向微风,无持续风向,微风,47 优,47,优
2016-06-14 周二,2016-06-14,06-14,周二,雷阵雨~中雨,31,24,7,无持续风向微风,无持续风向,微风,65 良,65,良
2016-06-15 周三,2016-06-15,06-15,周三,大到暴雨~中雨,26,22,4,无持续风向微风,无持续风向,微风,34 优,34,优
2016-06-16 周四,2016-06-16,06-16,周四,多云,27,20,7,无持续风向微风,无持续风向,微风,51 良,51,良
2016-06-17 周五,2016-06-17,06-17,周五,晴~雷阵雨,31,23,8,无持续风向微风,无持续风向,微风,55 良,55,良
2016-06-18 周六,2016-06-18,06-18,周六,中到大雨~雷阵雨,31,25,6,无持续风向微风,无持续风向,微风,37 优,37,优
2016-06-19 周日,2016-06-19,06-19,周日,雷阵雨~多云,32,27,5,无持续风向微风,无持续风向,微风,29 优,29,优
2016-06-20 周一,2016-06-20,06-20,周一,雷阵雨~多云,34,27,7,无持续风向微风,无持续风向,微风,42 优,42,优
2016-06-21 周二,2016-06-21,06-21,周二,晴,35,27,8,无持续风向微风,无持续风向,微风,50 优,50,优
2016-06-22 周三,2016-06-22,06-22,周三,晴,36,28,8,无持续风向微风,无持续风向,微风,53 良,53,良
2016-06-23 周四,2016-06-23,06-23,周四,晴,37,29,8,无持续风向微风,无持续风向,微风,57 良,57,良
2016-06-24 周五,2016-06-24,06-24,周五,晴~多云,36,27,9,无持续风向微风,无持续风向,微风,52 良,52,良
2016-06-25 周六,2016-06-25,06-25,周六,雷阵雨~阵雨,28,24,4,无持续风向微风,无持续风向,微风,37 优,37,优
2016-06-26 周日,2016-06-26,06-26,周日,阵雨~多云,28,23,5,无持续风向微风,无持续风向,微风,36 优,36,优
2016-06-27 周一,2016-06-27,06-27,周一,雷阵雨~多云,33,25,8,无持续风向微风,无持续风向,微风,48 优,48,优
2016-06-28 周二,2016-06-28,06-28,周二,阵雨,33,26,7,无持续风向微风,无持续风向,微风,54 良,54,良
2016-06-29 周三,2016-06-29,06-29,周三,雷阵雨~阴,31,25,6,无持续风向微风,无持续风向,微风,29 优,29,优
2016-06-30 周四,2016-06-30,06-30,周四,雷阵雨~多云,33,25,8,无持续风向微风,无持续风向,微风,31 优,31,优
2016-07-01 周五,2016-07-01,07-01,周五,阵雨~多云,32,26,6,无持续风向微风,无持续风向,微风,33 优,33,优
2016-07-02 周六,2016-07-02,07-02,周六,阵雨,31,26,5,无持续风向微风,无持续风向,微风,40 优,40,优
2016-07-03 周日,2016-07-03,07-03,周日,阵雨~阴,30,26,4,无持续风向微风,无持续风向,微风,35 优,35,优
2016-07-04 周一,2016-07-04,07-04,周一,阵雨,28,25,3,无持续风向微风,无持续风向,微风,35 优,35,优
2016-07-05 周二,2016-07-05,07-05,周二,多云,31,27,4,无持续风向微风,无持续风向,微风,34 优,34,优
2016-07-06 周三,2016-07-06,07-06,周三,多云~晴,33,27,6,无持续风向微风,无持续风向,微风,43 优,43,优
2016-07-07 周四,2016-07-07,07-07,周四,多云~晴,34,27,7,无持续风向微风,无持续风向,微风,43 优,43,优
2016-07-08 周五,2016-07-08,07-08,周五,晴,35,26,9,无持续风向微风,无持续风向,微风,51 良,51,良
2016-07-09 周六,2016-07-09,07-09,周六,多云~小雨,33,26,7,无持续风向微风,无持续风向,微风,48 优,48,优
2016-07-10 周日,2016-07-10,07-10,周日,小到中雨,32,27,5,无持续风向微风,无持续风向,微风,51 良,51,良
2016-07-11 周一,2016-07-11,07-11,周一,阵雨,33,27,6,无持续风向微风,无持续风向,微风,48 优,48,优
2016-07-12 周二,2016-07-12,07-12,周二,多云,33,27,6,无持续风向微风,无持续风向,微风,62 良,62,良
2016-07-13 周三,2016-07-13,07-13,周三,多云,33,27,6,无持续风向微风,无持续风向,微风,54 良,54,良
2016-07-14 周四,2016-07-14,07-14,周四,多云,34,28,6,无持续风向微风,无持续风向,微风,36 优,36,优
2016-07-15 周五,2016-07-15,07-15,周五,雷阵雨,34,26,8,无持续风向微风,无持续风向,微风,46 优,46,优
2016-07-16 周六,2016-07-16,07-16,周六,阵雨~阴,30,26,4,无持续风向微风,无持续风向,微风,24 优,24,优
2016-07-17 周日,2016-07-17,07-17,周日,中雨~中到大雨,30,26,4,无持续风向微风,无持续风向,微风,28 优,28,优
2016-07-18 周一,2016-07-18,07-18,周一,中到大雨~阴,28,26,2,无持续风向微风,无持续风向,微风,27 优,27,优
2016-07-19 周二,2016-07-19,07-19,周二,多云,32,26,6,无持续风向微风,无持续风向,微风,38 优,38,优
2016-07-20 周三,2016-07-20,07-20,周三,多云,34,28,6,无持续风向微风,无持续风向,微风,36 优,36,优
2016-07-21 周四,2016-07-21,07-21,周四,晴,35,27,8,无持续风向微风,无持续风向,微风,42 优,42,优
2016-07-22 周五,2016-07-22,07-22,周五,晴,36,28,8,无持续风向微风,无持续风向,微风,54 良,54,良
2016-07-23 周六,2016-07-23,07-23,周六,晴,36,27,9,无持续风向微风,无持续风向,微风,65 良,65,良
2016-07-24 周日,2016-07-24,07-24,周日,晴,37,29,8,无持续风向微风,无持续风向,微风,70 良,70,良
2016-07-25 周一,2016-07-25,07-25,周一,晴,38,29,9,无持续风向微风,无持续风向,微风,80 良,80,良
2016-07-26 周二,2016-07-26,07-26,周二,晴,38,29,9,无持续风向微风,无持续风向,微风,84 良,84,良
2016-07-27 周三,2016-07-27,07-27,周三,晴,38,29,9,无持续风向微风,无持续风向,微风,73 良,73,良
2016-07-28 周四,2016-07-28,07-28,周四,晴,37,29,8,无持续风向微风,无持续风向,微风,64 良,64,良
2016-07-29 周五,2016-07-29,07-29,周五,晴,38,29,9,无持续风向微风,无持续风向,微风,61 良,61,良
2016-07-30 周六,2016-07-30,07-30,周六,晴,38,29,9,无持续风向微风,无持续风向,微风,65 良,65,良
2016-07-31 周日,2016-07-31,07-31,周日,晴,38,29,9,无持续风向微风,无持续风向,微风,64 良,64,良
2016-08-01 周一,2016-08-01,08-01,周一,晴~多云,37,29,8,无持续风向微风,无持续风向,微风,52 良,52,良
2016-08-02 周二,2016-08-02,08-02,周二,多云,36,29,7,无持续风向微风,无持续风向,微风,37 优,37,优
2016-08-03 周三,2016-08-03,08-03,周三,雷阵雨~阵雨,34,27,7,无持续风向微风,无持续风向,微风,33 优,33,优
2016-08-04 周四,2016-08-04,08-04,周四,多云,33,27,6,无持续风向微风,无持续风向,微风,36 优,36,优
2016-08-05 周五,2016-08-05,08-05,周五,多云,34,27,7,无持续风向微风,无持续风向,微风,37 优,37,优
2016-08-06 周六,2016-08-06,08-06,周六,多云,33,26,7,无持续风向微风,无持续风向,微风,44 优,44,优
2016-08-07 周日,2016-08-07,08-07,周日,雷阵雨~阵雨,34,27,7,无持续风向微风,无持续风向,微风,49 优,49,优
2016-08-08 周一,2016-08-08,08-08,周一,雷阵雨~多云,34,27,7,无持续风向微风,无持续风向,微风,53 良,53,良
2016-08-09 周二,2016-08-09,08-09,周二,多云,35,27,8,无持续风向微风,无持续风向,微风,50 优,50,优
2016-08-10 周三,2016-08-10,08-10,周三,雷阵雨~阴,33,27,6,无持续风向微风,无持续风向,微风,36 优,36,优
2016-08-11 周四,2016-08-11,08-11,周四,多云,35,27,8,无持续风向微风,无持续风向,微风,41 优,41,优
2016-08-12 周五,2016-08-12,08-12,周五,晴,36,28,8,无持续风向微风,无持续风向,微风,34 优,34,优
